subject	coursenum	section	title	format	instructor	term	code	enrolled
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Williams, Chad"	Fall 2018	1183	21
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Smith, Faith"	Fall 2017	1173	29
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Williams, Chad"	Fall 2016	1163	38
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Johnson, Jasmine"	Fall 2015	1153	36
AAAS	5A	1	INTRO AFR./AFR0-AM STUDY	LEC	"Williams, Chad"	Fall 2014	1143	28
AAAS	18B	1	AFRICA AND THE WEST	LEC	"Wendorf, Benjamin"	Spring 2016	1161	32
AAAS	60A	1	ECON OF 3RD WORLD HUNGER	LEC	"Nyangoni, Wellington"	Spring 2019	1191	26
AAAS	60A	1	ECON OF 3RD WORLD HUNGER	LEC	"Nyangoni, Wellington"	Spring 2018	1181	24
AAAS	60A	1	ECON OF 3RD WORLD HUNGER	LEC	"Nyangoni, Wellington"	Spring 2016	1161	19
AAAS	70A	1	INTRO TO AFRICAN AMER HISTORY	LEC	"Klug, Samuel"	Spring 2018	1181	18
AAAS	70A	1	INTRO TO AFRICAN AMER HISTORY	LEC	"Pope, Andrew"	Spring 2016	1161	12
AAAS	79B	1	20TH CENTURY AFRO-AM LIT	LEC	"Sylvain, Patrick"	Fall 2018	1183	13
AAAS	79B	1	20TH CENTURY AFRO-AM LIT	LEC	"Pearson, Melissa"	Fall 2016	1163	16
AAAS	79B	1	20TH CENTURY AFRO-AM LIT	LEC	"Smith, Faith"	Spring 2015	1151	14
AAAS	80A	1	ECONOMY & SOCIETY-AFRICA	LEC	"Nyangoni, Wellington"	Spring 2019	1191	16
AAAS	80A	1	ECONOMY & SOCIETY-AFRICA	LEC	"Nyangoni, Wellington"	Spring 2017	1171	17
AAAS	80A	1	ECONOMY & SOCIETY-AFRICA	LEC	"Nyangoni, Wellington"	Spring 2015	1151	22
AAAS	98A	3	INDEPENDENT STUDY	IND	"Williams, Chad"	Fall 2015	1153	1
AAAS	98A	3	INDEPENDENT STUDY	IND	"Williams, Chad"	Fall 2014	1143	1
AAAS	98B	4	INDEPENDENT STUDY	IND	"Abdur-Rahman, Aliyyah"	Spring 2018	1181	2
AAAS	98B	2	INDEPENDENT STUDY	IND	"Smith, Faith"	Spring 2018	1181	1
AAAS	98B	7	INDEPENDENT STUDY	IND	"Childs, Gregory"	Spring 2017	1171	1
AAAS	98B	8	INDEPENDENT STUDY	IND	"Wallace, Derron"	Spring 2017	1171	1
AAAS	98B	6	INDEPENDENT STUDY	IND	"Abdur-Rahman, Aliyyah"	Spring 2016	1161	1
AAAS	99D	1	SENIOR RESEARCH	IND	"Smith, Faith"	Spring 2019	1191	1
AAAS	99D	1	SENIOR RESEARCH	IND	"Smith, Faith"	Fall 2018	1183	1
AAAS	99D	1	SENIOR RESEARCH	IND	"Smith, Faith"	Spring 2018	1181	2
AAAS	99D	5	SENIOR RESEARCH	IND	"Williams, Chad"	Spring 2018	1181	1
AAAS	99D	6	SENIOR RESEARCH	IND	"Childs, Gregory"	Fall 2017	1173	1
AAAS	99D	1	SENIOR RESEARCH	IND	"Smith, Faith"	Fall 2017	1173	2
AAAS	99D	5	SENIOR RESEARCH	IND	"Williams, Chad"	Fall 2017	1173	1
AAAS	99D	8	SENIOR RESEARCH	IND	"Abdur-Rahman, Aliyyah"	Spring 2017	1171	2
AAAS	99D	4	SENIOR RESEARCH	IND	"Smith, Faith"	Spring 2017	1171	1
AAAS	99D	8	SENIOR RESEARCH	IND	"Abdur-Rahman, Aliyyah"	Fall 2016	1163	2
AAAS	99D	7	SENIOR RESEARCH	IND	"Johnson, Jasmine"	Spring 2016	1161	1
AAAS	99D	7	SENIOR RESEARCH	IND	"Johnson, Jasmine"	Fall 2015	1153	1
AAAS	99D	7	SENIOR RESEARCH	IND	"Johnson, Jasmine"	Spring 2015	1151	1
AAAS	99D	4	SENIOR RESEARCH	IND	"Smith, Faith"	Spring 2015	1151	2
AAAS	99D	7	SENIOR RESEARCH	IND	"Johnson, Jasmine"	Fall 2014	1143	1
AAAS	99D	4	SENIOR RESEARCH	IND	"Smith, Faith"	Fall 2014	1143	2
AAAS	102A	1	AFRICAN CINEMA	SEM	"Hassan, Salah"	Spring 2017	1171	8
AAAS	114B	1	"RACE,ETHNICITY& ELEC POL IN US"	LEC	"LaRochelle, Ryan"	Fall 2014	1143	10
AAAS	115A	1	INTRO TO AFRICAN HISTORY	LEC	"Ray, Carina"	Fall 2017	1173	9
AAAS	115A	1	INTRO TO AFRICAN HISTORY	LEC	"Ray, Carina"	Fall 2016	1163	18
AAAS	115A	1	INTRO TO AFRICAN HISTORY	LEC	"Wendorf, Benjamin"	Fall 2015	1153	13
AAAS	117A	1	COMMUNICATIONS/SOC. CHNG	LEC	"Nyangoni, Wellington"	Spring 2015	1151	10
AAAS	118B	1	RACE PRISONS&SOCIAL JUSTICE	SEM	"Lynch, Theresa"	Spring 2016	1161	14
AAAS	118B	1	RACE PRISONS&SOCIAL JUSTICE	SEM	"Lynch, Theresa"	Fall 2015	1153	3
AAAS	120A	1	AFRICAN HISTORY IN REAL TIME	LEC	"Ray, Carina"	Spring 2019	1191	18
AAAS	120A	1	AFRICAN HISTORY IN REAL TIME	LEC	"Ray, Carina"	Spring 2018	1181	12
AAAS	122A	1	POL. OF SOUTHERN AFRICA	LEC	"Nyangoni, Wellington"	Spring 2017	1171	10
AAAS	123A	1	THIRD WORLD IDEOLOGIES	LEC	"Nyangoni, Wellington"	Spring 2018	1181	25
AAAS	123A	1	THIRD WORLD IDEOLOGIES	LEC	"Nyangoni, Wellington"	Spring 2016	1161	18
AAAS	125B	1	CARIBBEAN WOMAN/GLOBALIZATION	LEC	"Smith, Faith"	Fall 2017	1173	24
AAAS	125B	1	CARIBBEAN WOMAN/GLOBALIZATION	LEC	"Smith, Faith"	Fall 2014	1143	20
AAAS	126B	1	POL. ECONOMY-THIRD WORLD	LEC	"Nyangoni, Wellington"	Fall 2018	1183	20
AAAS	126B	1	POL. ECONOMY-THIRD WORLD	LEC	"Nyangoni, Wellington"	Fall 2016	1163	31
AAAS	126B	1	POL. ECONOMY-THIRD WORLD	LEC	"Nyangoni, Wellington"	Fall 2015	1153	47
AAAS	126B	1	POL. ECONOMY-THIRD WORLD	LEC	"Nyangoni, Wellington"	Fall 2014	1143	36
AAAS	130B	1	"BLACK BRANDEIS, BLACK HISTORY"	LEC	"Williams, Chad"	Spring 2019	1191	42
AAAS	131A	1	AFRICAN AMERICANS AND HEALTH	LEC	"Muigai, Wangui"	Spring 2019	1191	22
AAAS	131A	1	AFRICAN AMERICANS AND HEALTH	LEC	"Muigai, Wangui"	Fall 2017	1173	24
AAAS	132B	1	INTRO TO AFRICAN LIT.	LEC	"Smith, Faith"	Fall 2016	1163	13
AAAS	133B	1	LITERATURE OF CARIBBEAN	LEC	"Smith, Faith"	Spring 2019	1191	21
AAAS	133B	1	LITERATURE OF CARIBBEAN	LEC	"Smith, Faith"	Spring 2017	1171	39
AAAS	134B	1	NOVEL/FILM:AFR.DIASPORA	SEM	"Pugliese, Gina"	Spring 2016	1161	10
AAAS	135A	1	RACE SEX AND COLONIALISM	LEC	"Ray, Carina"	Fall 2018	1183	9
AAAS	135A	1	RACE SEX AND COLONIALISM	LEC	"Ray, Carina"	Fall 2016	1163	23
AAAS	146B	1	AFRICAN ICONS	SEM	"Ray, Carina"	Spring 2017	1171	6
AAAS	148B	1	DANCING THE AFRICAN DIASPORA	SEM	"Johnson, Jasmine"	Spring 2015	1151	25
AAAS	155B	1	HIP HOP HISTORY AND CULTURE	LEC	"Williams, Chad"	Fall 2018	1183	51
AAAS	155B	1	HIP HOP HISTORY AND CULTURE	LEC	"Williams, Chad"	Fall 2015	1153	43
AAAS	156A	1	THE STRUGGLE FOR CIVIL RIGHTS	LEC	"Williams, Chad"	Spring 2017	1171	38
AAAS	156A	1	CIVIL RIGHTS MOVEMENT	LEC	"Williams, Chad"	Spring 2015	1151	11
AAAS	157A	1	AFRICAN AMER POLITICAL THOUGHT	SEM	"Spry, Amber"	Spring 2019	1191	19
AAAS	158A	1	DEVELOPMENT/UNDERDEVELOP	LEC	"Nyangoni, Wellington"	Fall 2015	1153	5
AAAS	158A	1	DEVELOPMENT/UNDERDEVELOP	LEC	"Nyangoni, Wellington"	Fall 2014	1143	19
AAAS	159A	1	IDENTITY POLITICS IN THE US	SEM	"Spry, Amber"	Fall 2018	1183	14
AAAS	160B	1	AFRICAN AMERICAN MILITARY HIST	LEC	"Williams, Chad"	Fall 2015	1153	6
AAAS	161B	1	AFRICAN DIASPORA THEORY	SEM	"Hassan, Salah"	Spring 2018	1181	3
AAAS	162A	1	HISTORY OF 20TH CENT AFRICA	LEC	"Ray, Carina"	Spring 2017	1171	10
AAAS	163B	1	AFRICA IN WORLD POLITICS	LEC	"Nyangoni, Wellington"	Fall 2016	1163	11
AAAS	164B	1	AFROFUTURISM	LEC	"Abdur-Rahman, Aliyyah"	Fall 2017	1173	13
AAAS	165A	1	POLITICS OF BLACK AUTHENTICITY	LEC	"Johnson, Jasmine"	Spring 2016	1161	20
AAAS	165A	1	POLITICS OF BLACK AUTHENTICITY	LEC	"Johnson, Jasmine"	Fall 2014	1143	26
AAAS	168B	1	BLACK INTELLECTUAL TRADITION	SEM	"Williams, Chad"	Fall 2016	1163	15
AAAS	168B	1	BLACK INTELLECTUAL TRADITION	SEM	"Williams, Chad"	Spring 2015	1151	9
AAAS	175A	1	COMPAR. POL-NORTH AFRICA	LEC	"Nyangoni, Wellington"	Fall 2018	1183	4
AAAS	177A	1	PERSP BLACK ETHNIC DIVERSITY	SEM	"Wallace, Derron"	Spring 2015	1151	18
AAAS/ENG	141B	1	CRITICAL RACE THEORY	SEM	"Sylvain, Patrick"	Spring 2019	1191	10
AAAS/ENG	141B	1	CRITICAL RACE THEORY	SEM	"Abdur-Rahman, Aliyyah"	Spring 2017	1171	45
AAAS/FA	74B	1	INTRODUCTION TO AFRICAN ART	LEC	"Hassan, Salah"	Spring 2018	1181	19
AAAS/FA	74B	1	INTRODUCTION TO AFRICAN ART	LEC	"Hassan, Salah"	Spring 2017	1171	22
AAAS/WGS	136A	1	BLACK FEMINIST THOUGHT	LEC	"Abdur-Rahman, Aliyyah"	Fall 2017	1173	54
AAAS/WGS	136A	1	BLACK FEMINIST THOUGHT	LEC	"Johnson, Jasmine"	Spring 2016	1161	57
AAAS/WGS	136A	1	BLACK FEMINIST THOUGHT	LEC	"Johnson, Jasmine"	Spring 2015	1151	60
AAPI	140B	1	INTRO ASIAN AMERICAN STUDIES	LEC	"Day, Leanne"	Fall 2018	1183	17
AAPI	140B	1	INTRO ASIAN AMERICAN STUDIES	LEC	"Day, Leanne"	Fall 2017	1173	16
AAPI	150B	1	AAPI LIT&POPULAR CULTURE	LEC	"Day, Leanne"	Spring 2018	1181	16
AMST	25B	1	INDIVIDUALISM IN AMERICA	LEC	"Whitfield, Stephen"	Spring 2016	1161	16
AMST	25B	1	INDIVIDUALISM IN AMERICA	LEC	"Whitfield, Stephen"	Spring 2015	1151	23
AMST	30B	1	AMER.ENVIRONMENTAL HIST.	LEC	"Donahue, Brian"	Spring 2018	1181	33
AMST	30B	1	AMER.ENVIRONMENTAL HIST.	LEC	"Donahue, Brian"	Spring 2017	1171	20
AMST	30B	1	AMER.ENVIRONMENTAL HIST.	LEC	"Donahue, Brian"	Spring 2016	1161	13
AMST	30B	1	AMER.ENVIRONMENTAL HIST.	LEC	"Donahue, Brian"	Spring 2015	1151	13
AMST	35A	1	HOLLYWOOD AND AMER. CULT.	LEC	"Doherty, Thomas"	Spring 2019	1191	34
AMST	35A	1	HOLLYWOOD AND AMER. CULT.	LEC	"Doherty, Thomas"	Fall 2016	1163	54
AMST	35A	1	HOLLYWOOD AND AMER. CULT.	LEC	"Doherty, Thomas"	Fall 2015	1153	44
AMST	35A	1	HOLLYWOOD AND AMER. CULT.	LEC	"Doherty, Thomas"	Fall 2014	1143	73
AMST	40A	1	WOMEN IN AMERICAN HIST.	LEC	"Powers, Jillian"	Spring 2016	1161	21
AMST	45B	1	VIOLENCE IN AMER. LIFE	LEC	"Cohen, Jacob"	Spring 2015	1151	29
AMST	50B	1	RELIGION IN AMERICAN LIFE	LEC	"Farrelly, Maura"	Fall 2018	1183	11
AMST	50B	1	RELIGION IN AMERICAN LIFE	LEC	"Farrelly, Maura"	Fall 2016	1163	11
AMST	50B	1	RELIGION IN AMERICAN LIFE	LEC	"Farrelly, Maura"	Spring 2015	1151	13
AMST	55A	1	"RACE,ETHNICITY,IMMIG:AMER.CULT"	LEC	"Powers, Jillian"	Fall 2015	1153	16
AMST	55A	1	"RACE,ETHNICITY,IMMIG:AMER.CULT"	LEC	"Powers, Jillian"	Fall 2014	1143	22
AMST	60A	1	LEGAL BOUNDRIES:PUB/PRIV	LEC	"Breen, Daniel"	Spring 2017	1171	54
AMST	66B	1	INTELLECTUALS IN AMERICAN LIFE	SEM	"Farrelly, Maura"	Spring 2018	1181	9
AMST	92A	2	INTERNSHIP & ANALYSIS	IND	"Cohen, Jacob"	Fall 2015	1153	1
AMST	97A	5	READINGS IN AMER STUDIES	IND	"Whitfield, Stephen"	Fall 2016	1163	1
AMST	97B	9	READINGS IN AMER STUDIES	IND	"Powers, Jillian"	Spring 2016	1161	1
AMST	98A	6	INDEPENDENT STUDY	IND	"Gaskins, Richard"	Fall 2014	1143	1
AMST	98B	8	INDEPENDENT STUDY	IND	"Doherty, Thomas"	Spring 2018	1181	1
AMST	98B	2	INDEPENDENT STUDY	IND	"Cohen, Jacob"	Spring 2015	1151	1
AMST	98B	8	INDEPENDENT STUDY	IND	"Doherty, Thomas"	Spring 2015	1151	1
AMST	99D	7	SENIOR RESEARCH	IND	"Farrelly, Maura"	Spring 2019	1191	2
AMST	99D	7	SENIOR RESEARCH	IND	"Farrelly, Maura"	Fall 2018	1183	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Spring 2018	1181	1
AMST	99D	7	SENIOR RESEARCH	IND	"Farrelly, Maura"	Spring 2018	1181	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Fall 2017	1173	1
AMST	99D	7	SENIOR RESEARCH	IND	"Farrelly, Maura"	Fall 2017	1173	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Spring 2017	1171	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Fall 2016	1163	1
AMST	99D	5	SENIOR RESEARCH	IND	"Whitfield, Stephen"	Fall 2016	1163	1
AMST	99D	11	SENIOR RESEARCH	IND	"Breen, Daniel"	Spring 2016	1161	2
AMST	99D	2	SENIOR RESEARCH	IND	"Cohen, Jacob"	Spring 2016	1161	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Spring 2016	1161	2
AMST	99D	11	SENIOR RESEARCH	IND	"Breen, Daniel"	Fall 2015	1153	2
AMST	99D	2	SENIOR RESEARCH	IND	"Cohen, Jacob"	Fall 2015	1153	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Fall 2015	1153	2
AMST	99D	1	SENIOR RESEARCH	IND	"Antler, Joyce"	Spring 2015	1151	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Spring 2015	1151	1
AMST	99D	7	SENIOR RESEARCH	IND	"Farrelly, Maura"	Spring 2015	1151	1
AMST	99D	5	SENIOR RESEARCH	IND	"Whitfield, Stephen"	Spring 2015	1151	1
AMST	99D	1	SENIOR RESEARCH	IND	"Antler, Joyce"	Fall 2014	1143	1
AMST	99D	8	SENIOR RESEARCH	IND	"Doherty, Thomas"	Fall 2014	1143	1
AMST	99D	7	SENIOR RESEARCH	IND	"Farrelly, Maura"	Fall 2014	1143	3
AMST	99D	5	SENIOR RESEARCH	IND	"Whitfield, Stephen"	Fall 2014	1143	1
AMST	100A	1	FOUNDATIONS AMERICAN CULTURE	LEC	"Farrelly, Maura"	Fall 2018	1183	23
AMST	100A	1	CLASSIC TEXTS AMER CULTURE	LEC	"Doherty, Thomas"	Fall 2017	1173	11
AMST	100A	1	CLASSIC TEXTS AMER CULTURE	LEC	"Farrelly, Maura"	Fall 2016	1163	18
AMST	100A	1	CLASSIC TEXTS AMER CULTURE	LEC	"Doherty, Thomas"	Fall 2015	1153	24
AMST	100A	1	CLASSIC TEXTS AMER CULTURE	LEC	"Farrelly, Maura"	Fall 2014	1143	27
AMST	100B	1	20TH-C AMERICAN CULTURE	LEC	"Farrelly, Maura"	Spring 2019	1191	17
AMST	100B	1	20TH-C AMERICAN CULTURE	LEC	"Doherty, Thomas"	Spring 2018	1181	15
AMST	100B	1	20TH-C AMERICAN CULTURE	LEC	"Farrelly, Maura"	Spring 2017	1171	17
AMST	100B	1	20TH-C AMERICAN CULTURE	LEC	"Doherty, Thomas"	Spring 2016	1161	25
AMST	100B	1	20TH-C AMERICAN CULTURE	LEC	"Doherty, Thomas"	Spring 2015	1151	19
AMST	102AJ	1	"ENVIRONMENT,SOC.JUSTICE&EMPOW."	SEM	"Goldin, Laura"	Fall 2015	1153	12
AMST	103B	1	ADVERTISING & THE MEDIA	SEM	"Farrelly, Maura"	Fall 2017	1173	24
AMST	103B	1	ADVERTISING & THE MEDIA	SEM	"Farrelly, Maura"	Fall 2015	1153	47
AMST	105A	1	EAST. FOREST:ECOL/POLICY	LEC	"Donahue, Brian"	Spring 2018	1181	16
AMST	105A	1	EAST. FOREST:ECOL/POLICY	LEC	"Donahue, Brian"	Spring 2017	1171	13
AMST	105A	1	EAST. FOREST:ECOL/POLICY	LEC	"Donahue, Brian"	Spring 2016	1161	18
AMST	105A	1	EAST. FOREST:ECOL/POLICY	LEC	"Donahue, Brian"	Spring 2015	1151	12
AMST	106B	1	FOOD AND FARMING IN AMERICA	SEM	"Donahue, Brian"	Fall 2017	1173	23
AMST	106B	1	FOOD AND FARMING IN AMERICA	SEM	"Donahue, Brian"	Fall 2016	1163	22
AMST	106B	1	FOOD AND FARMING IN AMERICA	SEM	"Donahue, Brian"	Fall 2015	1153	22
AMST	106B	1	FOOD AND FARMING IN AMERICA	SEM	"Donahue, Brian"	Fall 2014	1143	25
AMST	115A	1	AMER GRAPH COMICS NOVEL NONFIC	SEM	"Doherty, Thomas"	Fall 2014	1143	13
AMST	120A	1	BLACK CHURCH IN AMERICA	LEC	"Hunter, Cory"	Fall 2017	1173	18
AMST	121B	1	GOSPEL MUSIC IN AMERICA	LEC	"Hunter, Cory"	Spring 2018	1181	12
AMST	122B	1	MUSIC IN AMERICAN CULTURE	SEM	"Musegades, Paula"	Spring 2015	1151	19
AMST	123B	1	INTERFAITH ETHNIC RACIAL AMER	LEC	"McGinity, Keren"	Fall 2017	1173	9
AMST	124B	1	AMERICAN LOVE & MARRIAGE	LEC	"McGinity, Keren"	Fall 2016	1163	20
AMST	124B	1	AMERICAN LOVE & MARRIAGE	LEC	"Antler, Joyce"	Fall 2014	1143	16
AMST	127B	1	WOMEN & AMER POPULAR CULTURE	LEC	"Powers, Jillian"	Fall 2015	1153	20
AMST	129A	1	AMER MOVIES MUSICALS MUS VIDEO	LEC	"Mandrell, James"	Spring 2015	1151	13
AMST	130B	1	TELEVISION/AMER.CULTURE	LEC	"Doherty, Thomas"	Spring 2017	1171	8
AMST	130B	1	TELEVISION/AMER.CULTURE	LEC	"Doherty, Thomas"	Spring 2015	1151	31
AMST	132B	1	INTL AFFAIRS/AMER MEDIA	LEC	"Farrelly, Maura"	Fall 2014	1143	4
AMST	134B	1	DIGITAL MEDIA IN AMERICA	LEC	"Cohen, Jacob"	Spring 2016	1161	41
AMST	135A	1	PHOTOGRAPHY&AMERICAN CULTURE	SEM	"Feeney, Mark"	Fall 2018	1183	12
AMST	135A	1	PHOTOGRAPHY&AMERICAN CULTURE	SEM	"Feeney, Mark"	Spring 2017	1171	6
AMST	135A	1	PHOTOGRAPHY&AMERICAN CULTURE	SEM	"Feeney, Mark"	Spring 2016	1161	18
AMST	136A	1	AMER CINEMA IN GLOBAL PERSPECT	LEC	"Doherty, Thomas"	Spring 2018	1181	23
AMST	137B	1	JOURNALISM IN 20th C AMERICA	LEC	"McNamara May, Eileen"	Spring 2019	1191	18
AMST	137B	1	JOURNALISM IN 20th C AMERICA	LEC	"Whitfield, Stephen"	Fall 2016	1163	17
AMST	137B	1	JOURNALISM IN 20th C AMERICA	LEC	"Whitfield, Stephen"	Fall 2015	1153	7
AMST	137B	1	JOURNALISM IN 20th C AMERICA	LEC	"Whitfield, Stephen"	Fall 2014	1143	30
AMST	139B	1	RACE GENDER IN NEWS	LEC	"McNamara May, Eileen"	Fall 2014	1143	29
AMST	140B	1	THE ASIAN AMERICN EXPERIENCE	LEC	"Chung, Patrick"	Fall 2016	1163	19
AMST	147B	1	BESTSELLERS AMERICAN CULTURE	LEC	"Gordan, Rachel"	Spring 2017	1171	3
AMST	150A	1	HIST:CHLDHD/YOUTH IN AM.	LEC	"Krasner, Jonathan"	Spring 2018	1181	20
AMST	150A	1	HIST:CHLDHD/YOUTH IN AM.	LEC	"Krasner, Jonathan"	Spring 2016	1161	30
AMST	156B	1	TRANSATLANTIC CROSSINGS	SEM	"Whitfield, Stephen"	Spring 2016	1161	9
AMST	156B	1	TRANSATLANTIC CROSSINGS	SEM	"Whitfield, Stephen"	Spring 2015	1151	8
AMST	163B	1	THE SIXTIES	LEC	"Cohen, Jacob"	Fall 2015	1153	17
AMST	170A	1	CONSPIRACY THEORY	LEC	"Cohen, Jacob"	Spring 2016	1161	71
AMST	170A	1	CONSPIRACY THEORY	LEC	"Cohen, Jacob"	Spring 2015	1151	80
AMST	177B	1	TRUE CRIME AND AMER. CULTURE	LAB	"Doherty, Thomas"	Spring 2019	1191	49
AMST	177B	1	TRUE CRIME AND AMER. CULTURE	LAB	"Doherty, Thomas"	Spring 2017	1171	24
AMST	180B	1	TOPICS-HIST OF AMER EDUC	LEC	"Krasner, Jonathan"	Spring 2019	1191	11
AMST	180B	1	TOPICS-HIST OF AMER EDUC	LEC	"Krasner, Jonathan"	Spring 2017	1171	6
AMST	180B	1	TOPICS-HIST OF AMER EDUC	LEC	"Krasner, Jonathan"	Spring 2015	1151	12
AMST	183B	1	SPORTS AND AMERICAN CUL.	LEC	"Cohen, Jacob"	Fall 2015	1153	40
AMST	185B	1	CULTURE OF THE COLD WAR	LEC	"Whitfield, Stephen"	Fall 2016	1163	9
AMST	185B	1	CULTURE OF THE COLD WAR	LEC	"Whitfield, Stephen"	Fall 2015	1153	14
AMST	185B	1	CULTURE OF THE COLD WAR	LEC	"Whitfield, Stephen"	Fall 2014	1143	25
AMST	188B	1	"BRANDEIS:LAW,BUSINESS&POLITICS"	SEM	"Breen, Daniel"	Spring 2016	1161	51
AMST	188B	1	"BRANDEIS:LAW,BUSINESS&POLITICS"	SEM	"Breen, Daniel"	Spring 2015	1151	35
AMST	191B	1	GREENING THE IVORY TOWER	SEM	"Goldin, Laura"	Fall 2017	1173	17
AMST	191B	1	GREENING THE IVORY TOWER	SEM	"Goldin, Laura"	Fall 2016	1163	22
AMST	191B	1	GREENING THE IVORY TOWER	SEM	"Goldin, Laura"	Fall 2014	1143	23
AMST/ANT	117A	1	DECOLONIZATION:NATIVE AMERICAN	SEM	"Bloch, Lee"	Fall 2018	1183	18
AMST/ANT	122A	1	INDIGENOUS ECOLOGIES	SEM	"Bloch, Lee"	Spring 2019	1191	14
AMST/ENG	47A	1	WEST IN AMERICAN LIT&CULTURE	LEC	"Tharaud, Jerome"	Fall 2018	1183	11
AMST/MUS	38A	1	AMERICAN MUSIC	LEC	"Musegades, Paula"	Fall 2018	1183	41
AMST/MUS	38A	1	AMERICAN MUSIC	LEC	"Musegades, Paula"	Fall 2017	1173	24
AMST/MUS	38A	1	AMERICAN MUSIC	LEC	"Musegades, Paula"	Fall 2015	1153	9
AMST/MUS	39B	1	PROTEST THROUGH SONG	LEC	"Musegades, Paula"	Spring 2019	1191	22
AMST/MUS	39B	1	PROTEST THROUGH SONG	LEC	"Musegades, Paula"	Spring 2018	1181	18
AMST/MUS	39B	1	PROTEST THROUGH SONG	LEC	"Musegades, Paula"	Spring 2016	1161	17
AMST/MUS	41A	1	LEONARD BERNSTEIN: COMPOSER	LEC	"Musegades, Paula"	Fall 2018	1183	12
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"Anjaria, Jonathan"	Spring 2019	1191	112
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"Anjaria, Jonathan"	Fall 2018	1183	123
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"McIntosh, Janet"	Spring 2018	1181	127
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"Lamb, Sarah"	Fall 2017	1173	156
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"Anjaria, Jonathan"	Spring 2017	1171	100
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"McIntosh, Janet"	Fall 2016	1163	145
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"McIntosh, Janet"	Spring 2016	1161	146
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"Lamb, Sarah"	Fall 2015	1153	151
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"Anjaria, Jonathan"	Spring 2015	1151	104
ANTH	1A	1	INTRO-COMP ST. HUMAN SOC	LEC	"Lamb, Sarah"	Fall 2014	1143	162
ANTH	5A	1	HUMAN ORIGINS	LEC	"Urcid, Javier"	Spring 2019	1191	65
ANTH	5A	1	HUMAN ORIGINS	LEC	"Urcid, Javier"	Spring 2018	1181	81
ANTH	5A	1	HUMAN ORIGINS	LEC	"Urcid, Javier"	Spring 2017	1171	79
ANTH	5A	1	HUMAN ORIGINS	LEC	"Parno, Travis"	Spring 2016	1161	66
ANTH	5A	1	HUMAN ORIGINS	LEC	"Golden, Charles"	Spring 2015	1151	84
ANTH	7A	1	DISCOVERIES IN ARCHAEOLOGY	LEC	"Golden, Charles"	Fall 2018	1183	25
ANTH	7A	1	DISCOVERIES IN ARCHAEOLOGY	LEC	"Golden, Charles"	Fall 2017	1173	27
ANTH	20B	1	FEAST AND FAMINE	SEM	"Ferry, Elizabeth"	Fall 2014	1143	28
ANTH	26A	1	COMMUNICATION AND MEDIA	LEC	"McIntosh, Janet"	Spring 2017	1171	96
ANTH	26A	1	COMMUNICATION AND MEDIA	LEC	"McIntosh, Janet"	Spring 2015	1151	99
ANTH	36A	1	US POLICING IN CONTEXT	LEC	"Connell, Jara"	Spring 2018	1181	15
ANTH	55A	1	ANTHROPOLOGY OF DEVELOPMENT	LEC	"Menoret, Pascal"	Spring 2019	1191	36
ANTH	55A	1	ANTHROPOLOGY OF DEVELOPMENT	LEC	"Sheridan, Derek"	Fall 2017	1173	19
ANTH	55A	1	ANTHROPOLOGY OF DEVELOPMENT	LEC	"Lino e Silva, Moises"	Fall 2014	1143	41
ANTH	60A	1	INTRO TO ARCHAEOL METHOD	LEC	"Collins, Ryan"	Fall 2017	1173	8
ANTH	60A	1	INTRO TO ARCHAEOL METHOD	LEC	"Rossi, Franco"	Fall 2016	1163	11
ANTH	60A	1	INTRO TO ARCHAEOL METHOD	LEC	"Parno, Travis"	Fall 2015	1153	15
ANTH	60B	1	INTRO TO ARCHAEOL.ANALYS	LEC	"Collins, Ryan"	Fall 2018	1183	16
ANTH	60B	1	INTRO TO ARCHAEOL.ANALYS	LEC	"Rossi, Franco"	Spring 2017	1171	7
ANTH	60B	1	INTRO TO ARCHAEOL.ANALYS	LEC	"Parno, Travis"	Spring 2015	1151	15
